世次	周	周-史記	魯	魯-史記	齊	齊-史記	秦	秦-史記	楚	楚-史記	陳	陳-史記	吳	吳-史記	衛	衛-史記	鄭	鄭-史記	宋	宋-史記	杞	杞-史記	曹	曹-史記	蔡	蔡-史記	晉	晉-史記	曲沃	許	滕	邾	莒	薛	北燕	息	芮	鄧
1	周文王	西伯昌	伯禽	伯禽	大公	太公望呂尚		秦仲	熊繹，楚始封君	熊繹	陳胡公滿	陳胡公滿	壽夢	壽夢	衛康叔	衛康叔封	鄭桓公友	鄭桓公友	微子啓	微子開		東樓公	曹叔振鐸	曹叔振鐸		蔡仲胡	晉唐叔虞	晉唐叔虞		許莊公	滕宣公嬰齊	邾子克（邾儀父）	莒茲公	薛獻公穀	燕簡公（北燕伯）款	息侯	芮伯萬	鄧祁侯
2	周武王	武王（姬發）		考公酋	丁公	丁公呂伋		秦莊公		熊艾		陳申公犀侯	諸樊	諸樊		衛康伯	鄭武公滑突，見宣十二年傳注	鄭武公掘突		微仲衍		西樓公		曹太伯脾		蔡伯荒		晉侯燮		許穆公新臣	滕昭公	邾子瑣	莒紀公	薛襄公定				
3	周成王	成王（姬誦）	魯煬公	煬公熙		乙公得		秦襄公		熊亶		陳相公皋羊	餘祭	餘祭		衛考伯	鄭莊公寤生	鄭莊公寤生		宋公稽		題公		曹仲君平		蔡宮侯		晉武侯寧族		許僖公業	滕文公	邾文公籧篨	莒渠丘公朱	薛惠公夷				
4	周康王	康王（姬釗）		幽公宰		癸公慈母		文公		熊勝		陳孝公突	夷末	餘眜		衛嗣伯	鄭厲公突	鄭厲公突		宋丁公申		謀娶公		曹宮伯侯		蔡厲侯		晉成侯服人		許昭公錫我	滕成公原	邾定公貜且	莒犁比公密州字買朱鉏					
5		昭王（姬瑕）		魏公㵒		哀公不辰		寧公（憲公）		熊楊		陳慎公圉戎	王僚	王僚		衛𢈻伯	鄭昭公忽	鄭昭公忽		宋湣公共		杞武公		曹孝伯雲		蔡武侯		晉厲侯福		許靈公甯	滕悼公寧	邾宣公	莒著丘公棄疾					
6	周穆王	穆王（滿）		厲公擢		胡公靜		出子		熊渠		陳幽公寧	公子光闔廬	公子光闔廬		衛靖伯	公子亹	公子亹		宋煬公熙		杞靖公		曹夷伯喜		蔡夷侯	晉靖侯	靖侯宜臼		許悼公買	滕頃公結	邾悼公華	莒共公庚輿					
7		共王（繄扈）	魯獻公具	獻公具		獻公山		武公		熊摯紅		陳釐公孝	夫槩	夫槩		衛貞伯	鄭子子儀	鄭子公子嬰	宋厲公	宋厲公鮒祀	杞侯	杞共公		曹幽伯彊		蔡釐侯	晉僖侯司徒	釐侯司徒		許男斯	滕隱公虞母	邾莊公穿	莒茲丕公期					
8		懿王（囏）		真公濞		武公壽		德公		熊延		陳武公靈	夫差	夫差		衛頃侯	鄭厲公突	鄭厲公突		宋釐公舉	杞成公	杞德公		曹戴伯蘇		蔡共侯興		獻侯籍		許元公成		邾隱公益						
9		孝王（辟方）	魯武公敖	武公敖		厲公無忌		宣公		熊勇		陳夷公說				衛釐侯	鄭文公捷	鄭文公踕		宋惠公覵	杞桓公姑容	杞桓公姑容		曹惠伯兕		蔡戴侯	晉穆侯	穆侯費王				邾桓公革						
10		夷王（燮）		懿公戲		文公赤		成公		熊嚴		陳平公燮				衛共伯餘	鄭穆公蘭	鄭繆公蘭		宋哀公	杞孝公匄	杞孝公丐		曹繆公武	蔡宣公考父	蔡宣侯措父	晉文侯	文侯仇	曲沃桓叔									
11	周厲王	厲王（胡）		伯御		成公脫	秦穆公任好	繆公（任好）		熊霜	陳文公	陳文公圉			衛武公	衛武公和	鄭靈公夷，初諡幽公，宣十年改葬，諡之曰靈，字子蠻，見成二年傳	鄭靈公	宋戴公	宋戴公	杞文公益姑	杞文公益姑	曹桓公終生	曹桓公終生	蔡桓侯封人	蔡桓侯封人	晉昭侯	昭侯伯	曲沃莊伯									
12	周宣王	宣王（靜）		孝公稱		莊公購	秦康公罃	康公（罃）		熊徇	陳桓公鮑	陳桓公鮑				衛莊公揚	鄭襄公堅	鄭襄公堅	宋武公	宋武公司空	杞平公郁釐	杞平公郁	曹莊公射姑	曹莊公夕姑	蔡哀侯獻舞	蔡哀侯獻舞	晉孝侯	孝侯平	曲沃武公/晉武公									
13	周幽王	幽王（宮湦）	魯惠公弗湟	惠公弗湟	齊僖公祿父	釐公祿甫		共公		熊咢	陳佗	陳厲公佗			衛桓公完	衛桓公完	鄭悼公費	鄭悼公沸	宋宣公	宋宣公力	杞悼公伯成	杞悼公成	曹僖公赤	曹釐公夷	蔡穆侯肸	蔡繆侯肸	晉鄂侯	鄂侯郄										
14	周平王	平王（宜臼）	魯隱公息	隱公息	齊襄公諸兒	襄公諸兒	秦桓公	桓公		若敖熊儀	陳厲公躍	陳利公躍			衛宣公	衛宣公晉	鄭成公睔	鄭成公睔	宋穆公	宋穆公和		杞隱公乞	曹昭公班	曹昭公班	蔡莊侯甲午	蔡莊侯甲午	晉哀侯	哀侯光										
15	周桓王	桓王（林）	魯桓公允	桓公允	公孫無知	公孫無知	秦景公	景公		霄敖熊坎	陳莊公林	陳莊公林			衛惠公朔	衛惠公朔	鄭君繻	鄭君繻	宋殤公與夷	宋殤公與夷	杞僖公過	杞釐公	曹共公襄	曹共公襄	蔡文公申	蔡文侯申	晉小子侯	小子侯										
16	周莊王	莊王（佗）	魯莊公同	莊公同	齊桓公小白	桓公小白	秦哀公	哀公（賈誼作畢公）	蚡冒	蚡冒熊眴	陳宣公杵臼	陳宣公杵臼			公子黔牟	公子黔牟	鄭成公大子髡頑	鄭成公睔	宋莊公馮	宋莊公馮		杞湣公維	曹文公壽	曹文公壽	蔡景公固	蔡景侯固	晉侯緡	晉侯緡										
17	周僖王	釐王（胡齊）	子般	子斑	公子無詭	公子無詭	秦惠公	惠公	楚武王	楚武王熊通	陳穆公	陳穆公款			衛惠公朔	衛惠公朔	鄭成公睔	鄭釐公惲	宋閔公捷	宋湣公捷		杞哀公閼路	曹宣公盧	曹宣公彊	蔡靈侯般	蔡靈侯般	晉武公	晉武公稱										
18	周惠王	惠王（閬）	魯閔公啓	湣公開	齊孝公昭	孝公昭	秦悼公稻	悼公	楚文王	楚文王熊貲	陳共公	陳共公朔			衛懿公	衛懿公赤	鄭僖公髡頑	鄭簡公嘉	公子游	公子游		杞出公敕	曹成公負芻	曹成公負芻	蔡平侯廬	蔡平侯廬	晉獻公佹諸	晉獻公詭諸										
19	周襄王	襄王（鄭）	魯僖公申	釐公申	齊昭公潘	昭公潘		厲共公		莊敖熊艱	陳靈公平國	陳靈公平國			衛戴公	衛戴公申	鄭簡公嘉	鄭定公寧	宋桓公御說	宋桓公御說		杞簡公春	曹武公滕	曹武公勝	蔡侯東國	蔡悼侯東國	晉惠公夷吾	晉惠公夷吾										
20	周頃王	頃王（壬臣）	魯文公興	文公興	舍	舍		躁公	楚成王	楚成王熊惲	陳成公午	陳成公午			衛文公燬	衛文公燬	鄭定公寧	鄭獻公蠆	宋襄公茲父	宋襄公茲甫			曹平公須	曹平公須	蔡昭侯申	蔡昭侯申	晉懷公圉	晉懷公圉										
21	周匡王	匡王（班）	魯宣公俀	宣公俀	齊懿公商人	懿公商人		懷公	楚穆王商臣，又名燮	楚穆王商臣	陳哀公溺	陳哀公弱			衛成公	衛成公鄭	鄭獻公蠆	鄭聲公勝	宋成公王臣	宋成公王臣			曹悼公午	曹悼公午		蔡成侯朔	晉文公重耳	晉文公重耳										
22	周定王	定王（瑜）	魯成公黑肱	成公黑肱	齊惠公元	惠公元		靈公（賈誼作肅靈公）	楚莊王旅	楚莊王侶	陳惠公吳	陳惠公吳			衛穆公速	衛穆公遫	鄭聲公勝	鄭哀公易	宋昭公杵臼	宋昭公杵臼				曹聲公野		蔡聲侯產	晉襄公驩	晉襄公歡										
23	周簡王	簡王（夷）	魯襄公午	襄公午	齊頃公無野	頃公無野		簡公	楚共王審	楚共王審	陳懷公柳	陳懷公柳			衛定公臧	衛定公臧		鄭共公丑	宋文公鮑	宋文公鮑革				曹隱公通		蔡元侯	晉靈公夷皋	晉靈公夷皋										
24	周靈王	靈王（泄心）	魯昭公裯	昭公裯	齊靈公環	靈公環		惠公	楚康王昭	楚康王招		陳湣公越			衛獻公衎	衛獻公衎		鄭幽公己	宋共公固	宋共公瑕			曹靖公露	曹靖公露		蔡侯齊	晉成公黑臀	晉成公黑臀										
