name,國,volume,所見名,註,occurrence,nameFreq
楚靈王,楚,襄公二十六年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公元年經，昭公元年傳，昭公三年傳，昭公四年經，昭公四年傳，昭公五年經，昭公五年傳，昭公六年傳，昭公七年傳，昭公八年傳，昭公九年經，昭公十一年經，昭公十一年傳，昭公十二年傳，昭公十三年經，昭公十三年傳，昭公二十一年傳，昭公三十年傳,公子圍，王子圍，王子，令尹圍，令尹，寡大夫圍，圍，寡大夫，寡君老，楚子圍，共王之子圍，楚靈王，楚子，寡君，楚王，王，楚共王之庶子圍，不穀，孤，寡人，楚子虔，虔，靈王,楚共王子；王子圍,45,23
宋元公,宋,襄公二十六年傳，昭公四年經，昭公四年傳，昭公六年傳，昭公十年傳，昭公十二年經，昭公十三年經，昭公十九年經，昭公二十年傳，昭公二十一年傳，昭公二十二年傳，昭公二十五年經，昭公二十五年傳，昭公二十六年經,佐，世子佐，大子佐，大子，元公，宋公成，宋公，宋元公，公，孤，宋公佐，寡人,平公大子佐,21,12
楚共王,楚,成公二年傳，成公三年傳，成公七年傳，成公九年傳，成公十二年傳，成公十五年經，成公十六年經，成公十六年傳，成公十八年經，襄公二年傳，襄公五年傳，襄公八年傳，襄公九年經，襄公十一年經，襄公十三年經，襄公十三年傳，昭公元年傳，昭公四年傳，昭公七年傳，昭公十三年傳,共王，王，楚子，楚王，不穀，楚君，楚共王，孤，楚子審，共，先君共王,自稱,24,11
晉悼公,晉,成公十七年傳，成公十八年經，成公十八年傳，襄公元年經，襄公三年經，襄公三年傳，襄公四年傳，襄公五年經，襄公七年經，襄公八年經，襄公八年傳，襄公九年經，襄公九年傳，襄公十年經，襄公十一年經，襄公十三年傳，襄公十四年傳，襄公十五年經，襄公十五年傳，襄公十六年經，襄公二十二年傳，襄公二十九年傳，昭公三十年傳,孫周，晉侯，周子，晉悼公，公，寡人，晉君，晉侯周，悼公，先君,晉襄公曾孫悼公,27,10
晉文公,晉,僖公五年經，僖公九年傳，僖公十年傳，僖公二十三年傳，僖公二十四年傳，僖公二十五年傳，僖公二十六年傳，僖公二十七年傳，僖公二十八年經，僖公二十八年傳，僖公三十年傳，僖公三十二年經，僖公三十二年傳，僖公三十三年經，僖公三十三年傳，文公元年傳，文公七年傳，宣公十二年傳，成公十一年傳，成公十三年傳，襄公八年傳，襄公十四年傳，襄公二十五年傳，襄公三十一年傳，昭公三年傳，昭公四年傳，昭公九年傳，昭公十三年傳，昭公十五年傳，昭公十七年傳，昭公二十九年傳，昭公三十二年傳，定公元年傳，定公四年傳,晉侯，文公，重耳，公子，晉侯重耳，晉文公，文，晉文，二文，重,,38,10
衛獻公,衛,成公十四年傳，成公十五年經，成公十六年經，成公十七年經，襄公十四年經，襄公十四年傳，襄公二十五年經，襄公二十五年傳，襄公二十六年經，襄公二十六年傳，襄公二十七年傳，襄公二十九年經，昭公十一年傳，哀公二十六年傳,衎，大子，衛侯，衛獻公，寡君，衛君，衛侯衎，獻公，公，獻,,22,10
士會,晉,僖公二十八年傳，文公六年傳，文公七年傳，文公十二年傳，文公十三年傳，宣公二年傳，宣公三年傳，宣公十年傳，宣公十二年傳，宣公十六年傳，宣公十七年傳，成公二年傳，成公十八年傳，襄公二十七年傳，昭公二十年傳,士會，士季，會，隨武子，隨季，武子，季氏，范武子，范會,隨武子，士之孫；隨季；堯後劉累之胤；士會諡武字季；初受隨，後更受范,23,9
晉平公,晉,襄公十六年經，襄公十六年傳，襄公十八年經，襄公十八年傳，襄公十九年傳，襄公二十年經，襄公二十一年經，襄公二十一年傳，襄公二十二年經，襄公二十三年傳，襄公二十四年經，襄公二十五年經，襄公二十六年經，襄公二十六年傳，襄公二十七年傳，襄公二十九年經，襄公二十九年傳，襄公三十一年傳，昭公元年傳，昭公二年經，昭公三年傳，昭公四年傳，昭公五年傳，昭公六年傳，昭公七年傳，昭公八年傳，昭公九年傳，昭公十年經，昭公十年傳，昭公十二年傳，昭公二十八年傳,晉侯，平公，曾臣彪，晉君，公，晉平公，寡君，君，晉侯彪,悼公子彪,43,9
魯昭公,魯,襄公三十一年傳，昭公二年傳，昭公五年傳，昭公六年傳，昭公七年傳，昭公二十五年傳，昭公二十六年傳，昭公二十九年傳，定公元年經，定公六年傳,公子裯，昭公，寡君，魯侯，君，稠父，公，魯君，主君,,14,9
子重,楚,宣公十一年傳，宣公十二年傳，成公二年經，成公二年傳，成公六年經，成公六年傳，成公七年經，成公七年傳，成公九年經，成公九年傳，成公十一年傳，成公十六年傳，成公十七年傳，成公十八年傳，襄公二年傳，襄公三年傳，襄公二十六年傳，昭公七年傳,左尹子重，子重，公子嬰齊，令尹子重，嬰齊，令尹，二穆，先大夫嬰齊,公子嬰齊，莊王弟；子重、子辛出楚穆王,22,8
楚平王,楚,昭公十三年傳，昭公十四年傳，昭公十五年傳，昭公十六年經，昭公十八年傳，昭公十九年傳，昭公二十年傳，昭公二十一年傳，昭公二十二年傳，昭公二十四年傳，昭公二十五年傳，昭公二十六年經，昭公二十六年傳，昭公二十七年傳，定公四年傳,平王，王，不穀，楚子，寡君，楚王，楚子居，楚平王,公子棄疾,24,8
楚昭王,楚,昭公二十六年傳，昭公三十年傳，定公三年傳，定公四年傳，定公五年傳，定公十五年經，哀公元年經，哀公六年經，哀公六年傳,大子壬，昭王，楚子，王，寡君，楚子軫，不穀，楚昭王,,19,8
荀偃,晉,成公十六年傳，成公十七年傳，成公十八年傳，襄公元年傳，襄公九年傳，襄公十年傳，襄公十三年傳，襄公十四年經，襄公十四年傳，襄公十六年經，襄公十六年傳，襄公十八年傳，襄公十九年傳，襄公二十六年傳,荀偃，中行偃，中行獻子，獻子，伯游，中行伯，偃，中行,,24,8
衛莊公,衛,隱公三年傳，哀公十一年傳，哀公十五年傳，哀公十六年經，哀公十六年傳，哀公十七年傳,衛莊公，莊公，寡人，世子蒯聵，衛侯，蒯聵，公，君,蒯聵,12,8
齊景公,齊,襄公二十五年傳，襄公二十七年經，昭公三年傳，昭公六年經，昭公七年傳，昭公十年傳，昭公十二年傳，昭公十三年經，昭公十四年傳，昭公十六年經，昭公十六年傳，昭公二十年傳，昭公二十二年經，昭公二十五年經，昭公二十五年傳，昭公二十六年經，昭公二十六年傳，昭公二十七年傳，昭公二十九年經，哀公五年經，哀公五年傳,景公，齊侯，寡君，寡人，公，齊君，齊侯杵臼，齊景公,,31,8
齊桓公,齊,莊公八年傳，莊公九年經，莊公九年傳，莊公十年傳，莊公十一年傳，莊公十三年經，莊公十四年經，莊公十五年經，莊公十六年經，莊公十九年經，莊公二十二年傳，莊公二十三年經，莊公二十七年經，莊公二十八年傳，莊公三十年經，莊公三十一年經，莊公三十二年經，閔公元年經，閔公二年傳，僖公元年經，僖公二年經，僖公三年經，僖公四年經，僖公五年經，僖公六年經，僖公七年經，僖公八年經，僖公九年經，僖公九年傳，僖公十年經，僖公十一年經，僖公十二年傳，僖公十三年經，僖公十五年經，僖公十六年經，僖公十七年經，僖公十八年經，僖公十九年傳，僖公二十三年傳，僖公二十四年傳，僖公二十六年傳，僖公二十八年傳，僖公三十三年傳，昭公四年傳，昭公十年傳，昭公十一年傳，昭公十三年傳,公子小白，小白，桓公，齊侯，齊侯小白，齊桓公，桓，齊桓,,49,8
齊莊公,齊,襄公元年傳，襄公三年經，襄公五年經，襄公九年經，襄公十年經，襄公十年傳，襄公十一年經，襄公十一年傳，襄公十八年傳，襄公十九年傳，襄公二十年經，襄公二十一年經，襄公二十一年傳，襄公二十二年經，襄公二十三年經，襄公二十四年傳，襄公二十五年經，襄公二十五年傳，襄公二十七年傳，襄公二十八年傳，襄公二十九年傳,大子光，世子光，大子，光，莊公，齊侯，齊莊公，公,齊靈公大子；與棠姜通,27,8
齊靈公,齊,成公十七年經，成公十七年傳，襄公二年經，襄公二年傳，襄公三年傳，襄公十二年傳，襄公十四年傳，襄公十五年經，襄公十六年經，襄公十七年經，襄公十八年傳，襄公十九年經，襄公十九年傳，襄公二十五年傳，昭公八年傳,齊侯，靈公，齊靈公，環，齊環，齊侯環，公，靈,,19,8
叔孫豹,魯,成公十六年傳，襄公二年經，襄公二年傳，襄公三年傳，襄公四年經，襄公四年傳，襄公五年經，襄公五年傳，襄公六年經，襄公六年傳，襄公七年傳，襄公十一年傳，襄公十四年經，襄公十四年傳，襄公十五年經，襄公十六年傳，襄公十九年經，襄公十九年傳，襄公二十二年傳，襄公二十三年經，襄公二十四年經，襄公二十四年傳，襄公二十五年傳，襄公二十七年經，襄公二十七年傳，襄公二十八年傳，襄公二十九年傳，襄公三十年傳，襄公三十一年傳，昭公元年經，昭公元年傳，昭公三年傳，昭公四年經，昭公四年傳，昭公五年傳,叔孫豹，穆叔，叔孫穆子，穆子，豹，叔孫，子叔孫,叔孫僑如弟,49,7
士匄,晉,成公十六年傳，成公十七年傳，成公十八年經，成公十八年傳，襄公三年傳，襄公五年傳，襄公八年經，襄公八年傳，襄公九年傳，襄公十年傳，襄公十一年傳，襄公十三年傳，襄公十四年經，襄公十四年傳，襄公十六年傳，襄公十八年傳，襄公十九年經，襄公十九年傳，襄公二十一年傳，襄公二十三年傳，襄公二十四年傳，襄公二十六年傳，昭公三年傳，昭公六年傳，昭公七年傳，昭公二十九年傳,范匄，士匄，范宣子，匄，宣子，范獻子，獻子,士燮子,43,7
子服惠伯,魯,襄公二十三年傳，襄公二十五年傳，襄公二十八年傳，襄公三十一年傳，昭公三年傳，昭公七年傳，昭公十二年傳，昭公十三年傳,孟椒，子服惠伯，子服子，子服椒，惠伯，椒，子服湫,孟獻子之孫,14,7
