序號,魯公,經傳,所見名,稱呼,國,註,男女,父,母
1,隱公傳,傳,惠公,魯惠公,魯,NA,男,NA,NA
2,隱公傳,傳,孟子,孟子,宋,魯惠公元妃,女,NA,NA
3,隱公傳,傳,聲子,聲子,魯,魯惠公繼室,女,NA,NA
4,隱公傳,傳,隱公,魯隱公,魯,NA,男,魯惠公,聲子
5,隱公元年,經,邾儀父,邾子克,邾,NA,男,NA,NA
6,隱公元年,經,鄭伯,鄭莊公,鄭,NA,男,NA,NA
7,隱公元年,經,段,共叔段,鄭,NA,男,NA,NA
8,隱公元年,經,天王,天王,周,NA,男,NA,NA
9,隱公元年,經,宰咺,宰咺,周,NA,男,NA,NA
10,隱公元年,經,惠公,魯惠公,魯,NA,男,NA,NA
11,隱公元年,經,仲子,仲子,魯,NA,男,NA,NA
12,隱公元年,經,祭伯,祭伯,祭,諸侯爲王卿士者,男,NA,NA
13,隱公元年,經,公子益師,公子益師,魯,NA,男,NA,NA
14,隱公元年,傳,邾子克,邾子克,邾,NA,男,NA,NA
15,隱公元年,傳,費伯,費伯,魯,魯大夫,男,NA,NA
16,隱公元年,傳,鄭武公,鄭武公,鄭,NA,男,NA,NA
17,隱公元年,傳,武姜,武姜,鄭,鄭武公妃,男,NA,NA
18,隱公元年,傳,莊公,鄭莊公,鄭,NA,男,NA,NA
19,隱公元年,傳,共叔段,共叔段,鄭,NA,男,NA,NA
20,隱公元年,傳,姜氏,武姜,鄭,NA,男,NA,NA
21,隱公元年,傳,寤生,鄭莊公,鄭,NA,男,NA,NA
22,隱公元年,傳,虢叔,東虢君,虢,NA,男,NA,NA
23,隱公元年,傳,京城大叔,共叔段,鄭,NA,男,NA,NA
24,隱公元年,傳,祭仲,祭仲,鄭,鄭大夫,男,NA,NA
25,隱公元年,傳,大叔,共叔段,鄭,NA,男,NA,NA
26,隱公元年,傳,公子呂,公子呂,鄭,鄭大夫,男,NA,NA
27,隱公元年,傳,子封,公子呂,鄭,NA,男,NA,NA
28,隱公元年,傳,潁考叔,潁考叔,鄭,穎谷封人,男,NA,NA
29,隱公元年,傳,子氏,仲子,魯,NA,男,NA,NA
30,隱公元年,傳,大子,魯桓公,魯,NA,男,NA,NA
31,隱公元年,傳,衛侯,衛桓公,衛,NA,男,NA,NA
32,隱公元年,傳,公孫滑,公孫滑,鄭,共叔段之子,男,NA,NA
33,隱公元年,傳,公子豫,公子豫,魯,魯大夫,男,NA,NA
34,隱公元年,傳,衆父,公子益師,魯,NA,男,NA,NA
35,隱公二年,經,無駭,無駭,魯,魯卿,男,NA,NA
36,隱公二年,經,紀裂繻,紀裂繻,紀,紀大夫,男,NA,NA
37,隱公二年,經,伯姬,伯姬,魯,魯女,女,NA,NA
38,隱公二年,經,紀子帛,紀裂繻,紀,NA,男,NA,NA
39,隱公二年,經,莒子,莒子,莒,NA,男,NA,NA
40,隱公二年,經,子氏,仲子,魯,NA,女,NA,NA
41,隱公二年,傳,惠公,魯惠公,魯,NA,男,NA,NA
42,隱公二年,傳,向姜,向姜,莒,NA,女,NA,NA
43,隱公二年,傳,姜氏,向姜,莒,NA,男,NA,NA
44,隱公二年,傳,司空無駭,無駭,魯,NA,男,NA,NA
45,隱公二年,傳,費庈父,費伯,費,NA,男,NA,NA
46,隱公二年,傳,公孫滑,公孫滑,鄭,NA,男,NA,NA
47,隱公三年,經,天王,周平王,周,NA,男,NA,NA
48,隱公三年,經,君氏,聲子,魯,NA,男,NA,NA
49,隱公三年,經,武氏子,武氏子,周,太子大夫之嗣,男,NA,NA
50,隱公三年,經,宋公和,宋穆公,宋,NA,男,NA,NA
51,隱公三年,傳,平王,周平王,周,NA,男,NA,NA
52,隱公三年,傳,鄭武公,鄭武公,鄭,NA,男,NA,NA
