序號	諸侯國名	地	姓	魯公	經傳	備註
1	魯		姬	隱公元年	經	又見僖二十四年
2	邾	魯國鄒縣	曹	隱公元年	經	
3	祭		姬	隱公元年	經	祭伯，諸侯爲王卿士者；見僖二十四年
4	鄭	滎陽宛陵縣西南		隱公元年	經	
5	申	南陽宛縣		隱公元年	傳	
6	虢	熒陽縣		隱公元年	傳	東虢
7	共	汲郡共縣		隱公元年	傳	
8	紀	東郭劇縣	姜，見桓九年注	隱公元年	傳	
9	夷	城陽莊武縣		隱公元年	傳	
10	宋		子	隱公元年	傳	
11	衛	汲郡朝歌縣	姬	隱公元年	傳	又見僖二十四年
12	虢	弘農陝縣東南有虢城		隱公元年	傳	西虢
13	戎	陳留濟陽縣東南有戎城		隱公二年	經	
14	莒	城陽莒縣	己	隱公二年	傳	
15	向	譙國龍亢縣東南有向城		隱公二年	傳	小國
16	極			隱公二年	傳	附庸小國
17	齊		姜	隱公三年	傳	
18	陳	陳國陳縣		隱公三年	傳	
19	杞	本都陳留雍丘縣，桓六年，遷都淳于，僖十四年，又遷緣陵，襄二十九年，又遷都淳于	姒	隱公四年	經	
20	蔡	汝南上蔡縣	姬	隱公四年	經	又見僖二十四年
21	郕	東平剛父縣西南有郕鄉	姬	隱公五年	經	見隱公五年傳注；又見僖二十四年
22	邢	廣平襄國縣	姬	隱公五年	傳	又見僖二十四年
24	燕	東郡燕縣		隱公五年	傳	南燕國
23	晉		姬	隱公六年	傳	又見僖二十四年
25	滕	沛國公丘縣東南	姬	隱公七年	經	又見僖二十四年
26	宿		風	隱公八年	經	又見僖二十一年
27	北戎			隱公九年	傳	
28	戴	陳留外黃縣東南有戴城		隱公十年	經	
29	薛	魯國薛縣	任	隱公十一年	經	
30	許	穎川許昌縣		隱公十一年	經	
31	息	汝南新息縣		隱公十一年	傳	鄭息同姓之國
32	楚	南郡江陵縣北紀南城		桓公二年	傳	
33	芮	馮翊臨晉縣		桓公三年	傳	
34	魏	河東河北縣		桓公三年	傳	閔公元年，爲晉所滅，見閔元年傳
35	秦			桓公四年	傳	
36	曹	濟陰定陶縣	姬	桓公五年	經	又見僖二十四年
37	州	城陽淳于縣		桓公五年	經	都於城陽淳于縣，見本年傳注
38	隨	義陽隨縣		桓公六年	傳	
39	穀	南鄉筑陽縣北		桓公七年	經	辟陋小國
40	鄧		曼，見桓十一年注	桓公七年	經	辟陋小國
41	黃	弋陽縣		桓公八年	傳	
42	巴	巴郡江州縣		桓公九年	傳	
43	梁	馮翊夏陽縣		桓公九年	傳	
44	荀			桓公九年	傳	
45	賈			桓公九年	傳	
46	虞	河東大陽縣		桓公十年	傳	
47	貳			桓公十一年	傳	
48	軫			桓公十一年	傳	
49	鄖	江夏雲杜縣東南有鄖城		桓公十一年	傳	
